cd_Ugestora,dt_Ano,de_Ugestora,Eleito,Classe
201138,2009,PEDRA LAVRADA,JOSE ANTONIO VASCONCELOS DA COSTA,IRREGULAR
201138,2013,PEDRA LAVRADA,ROBERTO JOSE VASCONCELOS CORDEIRO,IRREGULAR
201139,2009,PEDRAS DE FOGO,MARIA CLARICE RIBEIRO BORBA,IRREGULAR
201139,2013,PEDRAS DE FOGO,DERIVALDO ROMAO DOS SANTOS,NAO IRREGULAR
201140,2009,PEDRO REGIS,SEVERINO BATISTA DE CARVALHO,NAO IRREGULAR
201140,2013,PEDRO REGIS,JOSE AURELIO FERREIRA,NAO IRREGULAR
201141,2009,PIANCO,FLAVIA SERRA GALDINO,IRREGULAR
201141,2013,PIANCO,FRANCISCO SALES DE LIMA LACERDA,IRREGULAR
201142,2009,PICUI,RUBENS GERMANO COSTA,NAO IRREGULAR
201142,2013,PICUI,ACACIO ARAUJO DANTAS,NAO IRREGULAR
201143,2009,PILAR,VIRGINIA MARIA PEIXOTO VELLOSO BORGES,IRREGULAR
201143,2013,PILAR,VIRGINIA MARIA PEIXOTO VELLOSO BORGES,NAO IRREGULAR
201144,2009,PILOES,FELIX ANTONIO MENEZES DA CUNHA,NAO IRREGULAR
201144,2013,PILOES,ADRIANA APARECIDA SOUZA DE ANDRADE,NAO IRREGULAR
201145,2009,PILOEZINHOS,GERALDO MENDES DA SILVA JUNIOR,NAO IRREGULAR
201145,2013,PILOEZINHOS,ROSINALDO LUCENA MENDES,NAO IRREGULAR
201146,2009,PIRPIRITUBA,RINALDO DE LUCENA GUEDES,IRREGULAR
201146,2013,PIRPIRITUBA,RINALDO DE LUCENA GUEDES,NAO IRREGULAR
201147,2009,PITIMBU,JOSE ROMULO CARNEIRO DE ALBUQUERQUE,IRREGULAR
201147,2013,PITIMBU,LEONARDO JOSE BARBALHO CARNEIRO,IRREGULAR
201148,2009,POCINHOS,ARTHUR BOMFIM GALDINO DE ARAUJO,IRREGULAR
201148,2013,POCINHOS,CLAUDIO CHAVES COSTA,NAO IRREGULAR
201149,2009,POCO DANTAS,ITAMAR MOREIRA FERNANDES,NAO IRREGULAR
201149,2013,POCO DANTAS,JOSE GURGEL SOBRINHO,NAO IRREGULAR
201150,2009,POCO DE JOSE DE MOURA,MANOEL ALVES NETO,NAO IRREGULAR
201150,2013,POCO DE JOSE DE MOURA,AURILEIDE EGIDIO DE MOURA,NAO IRREGULAR
201151,2009,POMBAL,YASNAYA POLLYANNA DANTAS WERTON,IRREGULAR
201151,2013,POMBAL,YASNAIA POLLYANNA WERTON DUTRA,NAO IRREGULAR
201152,2009,PRATA,MARCEL NUNES DE FARIAS,NAO IRREGULAR
201152,2013,PRATA,ANTONIO COSTA NOBREGA JUNIOR,NAO IRREGULAR
201153,2009,PRINCESA ISABEL,THIAGO PEREIRA DE SOUSA SOARES,IRREGULAR
201153,2013,PRINCESA ISABEL,DOMINGOS SAVIO MAXIMIANO ROBERTO,IRREGULAR
